date,open,high,low,close,volume
2017-08-15,31.6287,31.8869,31.454,31.5317,2695512
2017-08-16,31.6287,31.8906,31.5025,31.6869,2021541
2017-08-17,31.5414,31.7063,31.3958,31.4152,2730811
2017-08-18,31.3764,31.5899,31.0854,31.4055,2864650
2017-08-21,31.4346,31.6287,31.4055,31.5899,2171028
2017-08-22,31.7708,31.937,31.7219,31.7903,2096041
2017-08-23,31.673,31.8783,31.6241,31.673,2704987
2017-08-24,31.7512,31.8979,31.6143,31.7023,2652919
2017-08-25,31.8295,31.9663,31.7512,31.7806,1273325
2017-08-28,31.9077,31.9175,31.7317,31.8881,1446764
2017-08-29,31.7317,32.0837,31.6877,31.9468,1966668
2017-08-30,31.8686,32.2597,31.7708,32.201,1883895
2017-08-31,32.1717,32.5433,32.1717,32.4455,1802725
2017-09-01,32.5335,32.69,32.3868,32.5237,1059296
2017-09-05,32.514,32.6704,32.0348,32.289,1739186
2017-09-06,32.3966,32.3966,32.1326,32.3379,1657036
2017-09-07,32.4651,32.5726,32.2744,32.514,1242312
2017-09-08,32.4651,32.5628,32.3477,32.4259,893293
2017-09-11,32.6704,32.7682,32.5042,32.6704,1392777
2017-09-12,32.7193,32.8122,32.6313,32.8073,1006246
2017-09-13,32.7584,32.8366,32.514,32.7193,1094314
2017-09-14,32.602,32.6313,32.3673,32.4357,1204341
2017-09-15,32.4357,32.4846,32.1619,32.3673,2939591
2017-09-18,32.4357,32.6215,32.1766,32.2597,2188293
2017-09-19,32.3086,32.3086,31.9761,32.1717,2082999
2017-09-20,32.2499,32.2695,31.673,31.8881,1866052
2017-09-21,31.8001,31.9468,31.6339,31.6437,1889282
2017-09-22,31.6241,32.0055,31.5556,31.9566,1670815
2017-09-25,31.8979,32.289,31.7708,32.2793,1915417
2017-09-26,32.3771,32.5775,32.2499,32.4259,1838738
2017-09-27,31.849,32.6149,31.849,32.514,1377757
2017-09-28,32.3575,32.4455,32.0984,32.2793,1717248
2017-09-29,32.2695,32.6655,32.2108,32.6411,1322320
2017-10-02,32.6215,32.9833,32.514,32.9247,1148022
2017-10-03,32.9149,32.9344,32.6802,32.8269,1328550
2017-10-04,32.8171,32.954,32.5922,32.9149,857504
2017-10-05,33.0322,33.2278,32.9051,33.1887,1043602
2017-10-06,33.1398,33.218,32.9051,33.1105,936191
2017-10-09,33.1105,33.1496,32.7095,32.8269,1564252
2017-10-10,32.8366,33.0029,32.7193,32.8953,1487428
2017-10-11,32.778,32.9247,32.6411,32.8855,1219876
2017-10-12,32.9344,33.2376,32.8953,33.1691,1295747
2017-10-13,33.2962,33.4087,33.0811,33.13,1136138
2017-10-16,33.1202,33.13,32.6704,32.9638,1877569
2017-10-17,32.9442,32.9931,32.7975,32.8464,1594706
2017-10-18,32.8269,33.0909,32.6704,32.9833,1946303
2017-10-19,32.9344,33.2376,32.8562,33.1789,1233168
2017-10-20,33.1887,33.394,33.0909,33.3451,1261554
2017-10-23,33.4234,33.6483,33.2962,33.5309,1645126
2017-10-24,33.5114,33.5896,33.0811,33.5309,2236048
2017-10-25,33.4234,33.57,33.1105,33.3745,1793667
2017-10-26,32.2695,32.5433,30.7538,31.9077,5181807
2017-10-27,31.9175,32.3771,31.8197,32.1424,4022586
2017-10-30,32.0152,32.1619,31.6045,31.6045,2549603
2017-10-31,31.6925,31.7708,31.5165,31.6632,2609597
2017-11-01,31.8392,32.2597,31.6388,32.201,2359355
2017-11-02,32.1033,32.201,31.6925,31.6925,2057387
2017-11-03,31.6925,32.0348,31.5263,31.9272,2350985
2017-11-06,31.8588,32.0055,31.7219,31.7317,1197582
2017-11-07,31.7512,31.8783,31.5361,31.585,1729539
2017-11-08,31.6143,31.9566,31.5361,31.8979,1431621
2017-11-09,31.6437,31.7512,31.2916,31.5459,1852286
2017-11-10,31.4383,31.7317,31.3601,31.7317,1677410
2017-11-13,31.5752,31.6925,31.5263,31.6045,1437966
2017-11-14,31.497,31.761,31.4481,31.5948,2145434
2017-11-15,31.5459,31.673,31.2623,31.409,2111318
2017-11-16,31.3894,31.8783,31.3894,31.8588,2143039
2017-11-17,31.849,31.8979,31.5459,31.7903,1997190
2017-11-20,31.7512,31.9077,31.5556,31.8099,1393969
2017-11-21,32.0446,32.0641,31.6094,31.8588,2136289
2017-11-22,31.8588,31.9957,31.7121,31.7317,1149291
2017-11-24,31.7219,31.9859,31.7121,31.9077,673050
2017-11-27,31.9663,32.2695,31.8539,31.9077,1426403
2017-11-28,31.9468,32.0837,31.6828,31.9663,1676665
2017-11-29,32.0206,32.4641,32.0206,32.1093,2321918
2017-11-30,32.2374,32.7302,32.129,32.5922,2550549
2017-12-01,32.4444,32.7597,32.0407,32.7105,1613467
2017-12-04,32.9371,33.1638,32.6612,32.7992,2875155
2017-12-05,32.8977,33.08,32.74,32.74,1857766
2017-12-06,32.7992,32.9815,32.7006,32.8189,1705119
2017-12-07,32.7696,32.809,32.4936,32.6907,1772571
2017-12-08,32.8484,33.0357,32.7499,32.9963,1324012
2017-12-11,32.947,33.0948,32.7302,32.8484,1815255
2017-12-12,32.7992,33.1835,32.7749,33.0061,1456019
2017-12-13,33.0751,33.1638,32.7992,32.878,1544926
2017-12-14,32.947,33.0653,32.6464,32.7105,1458613
2017-12-15,32.809,33.3264,32.5331,33.2229,3273230
2017-12-18,33.4496,33.5876,33.1638,33.2525,1782118
2017-12-19,33.3116,33.489,33.154,33.1638,1646565
2017-12-20,33.2919,33.4102,33.0061,33.0653,1674876
2017-12-21,33.1737,33.2427,32.9421,33.0258,1157846
2017-12-22,32.9766,33.1687,32.9273,33.0357,1915012
2017-12-26,32.9568,33.2427,32.9568,33.1638,821284
2017-12-27,33.2427,33.2525,32.9371,33.016,1089529
2017-12-28,33.1047,33.1047,32.8879,33.016,885986
2017-12-29,32.9568,33.0751,32.7696,32.7992,1535625
2018-01-02,32.9766,33.154,32.6267,33.0948,2112230
2018-01-03,33.0948,33.4201,32.9174,33.2229,2473596
2018-01-04,33.2919,33.4792,33.2032,33.2919,2209671
2018-01-05,33.4792,33.5876,33.3116,33.5383,1719257
2018-01-08,33.4003,33.4989,33.0554,33.3806,1892916
2018-01-09,33.3708,33.4299,33.0948,33.2722,1736683
2018-01-10,33.2229,33.3954,32.9667,32.9963,2562193
2018-01-11,33.1441,33.3314,32.8681,33.3314,1515186
2018-01-12,33.3708,33.7157,33.2861,33.5975,1454839
2018-01-16,33.765,34.0508,33.5088,33.5285,2111418
2018-01-17,33.7847,34.0262,33.6566,33.972,1288965
2018-01-18,33.9424,34.1099,33.4299,33.696,2296643
2018-01-19,33.696,33.9325,33.4201,33.5777,2968954
2018-01-22,33.5876,34.2282,33.489,34.2184,2506575
2018-01-23,34.1297,34.5929,34.0508,34.2479,2356683
2018-01-24,34.445,34.7505,34.2282,34.3957,2501853
2018-01-25,34.5534,34.9477,34.4253,34.6224,3259486
2018-01-26,34.7998,35.401,34.6323,35.3813,2269313
2018-01-29,35.2729,35.4109,35.0462,35.1251,2105468
2018-01-30,34.9772,35.401,34.7111,35.0364,3481305
2018-01-31,35.2335,36.0318,34.6717,35.332,4527763
2018-02-01,35.2236,35.3714,34.721,34.8688,3488422
2018-02-02,34.0311,34.8885,34.0311,34.4647,3037256
2018-02-05,34.4352,34.5436,33.0653,33.0751,4572939
2018-02-06,32.602,33.3363,32.1684,33.2131,4117675
2018-02-07,33.0653,33.903,32.9667,33.5088,4136564
2018-02-08,33.4398,33.4398,32.1684,32.1881,4392348
2018-02-09,32.5331,33.2525,32.0009,32.9667,4416064
2018-02-12,33.1441,33.6369,33.1441,33.5285,2865499
2018-02-13,33.4201,33.7108,33.3412,33.6862,2343592
2018-02-14,33.4595,34.2873,33.2722,34.2479,3012989
2018-02-15,34.4253,34.8491,34.1494,34.7308,2146305
2018-02-16,34.7801,35.2236,34.7259,34.8294,1782964
2018-02-20,34.6323,34.8885,34.4302,34.5534,2212220
2018-02-21,34.6477,34.9654,34.4244,34.4393,3375958
2018-02-22,34.5584,35.0051,34.5187,34.5981,3056165
2018-02-23,34.8066,35.2136,34.7023,35.1739,3406800
2018-02-26,35.2434,35.4171,34.9853,35.1044,3041140
2018-02-27,35.2037,35.5561,34.9952,34.9952,2867305
2018-02-28,35.164,35.4519,34.8463,34.8463,3432728
2018-03-01,34.9555,35.303,34.6477,34.9456,4296464
2018-03-02,34.9456,35.1342,34.7321,35.0647,2657112
2018-03-05,34.8562,35.4122,34.7917,35.2831,2282959
2018-03-06,35.3824,35.4767,35.0945,35.4618,1619412
2018-03-07,35.3328,35.7894,35.3226,35.7001,1899921
2018-03-08,35.7894,35.9532,35.5115,35.8986,2449415
2018-03-09,36.2064,36.8616,36.0476,36.8517,3463177
2018-03-12,36.8914,36.9808,36.2114,36.5439,2892541
2018-03-13,36.6829,36.7623,35.8887,36.0078,2880562
2018-03-14,36.2362,36.3057,35.4916,35.5809,2411720
2018-03-15,35.6107,35.6604,35.3228,35.432,2164930
2018-03-16,35.4717,35.8986,35.3526,35.5313,4552787
2018-03-19,35.3824,35.5313,34.8364,35.1243,2018268
2018-03-20,35.1541,35.5512,35.0002,35.1441,2550853
2018-03-21,35.164,35.4221,34.9456,35.0548,2324732
2018-03-22,32.8707,34.8264,32.8707,34.062,2571772
2018-03-23,34.0719,34.201,32.9898,32.9997,2599587
2018-03-26,33.4663,33.9528,33.3174,33.9032,2632153
2018-03-27,34.3003,34.3301,32.9997,33.1884,2248199
2018-03-28,33.2777,33.5061,33.0395,33.238,2709086
2018-03-29,33.4366,33.923,33.1487,33.655,2489463
2018-04-02,33.4763,33.6053,32.2155,32.4636,3284507
2018-04-03,32.6622,33.0097,32.3743,32.8707,3027063
2018-04-04,32.4934,33.7145,32.3644,33.5954,3371788
2018-04-05,33.8237,33.8635,33.4068,33.6649,1768231
2018-04-06,33.3869,33.5755,32.7118,32.9402,2192775
2018-04-09,33.1586,33.5855,33.0295,33.0494,1549632
2018-04-10,33.5458,34.3698,33.5358,34.2804,4943729
2018-04-11,33.9727,34.5385,33.794,34.2407,2604050
2018-04-12,34.4591,34.6577,33.0891,34.2903,2710715
2018-04-13,34.4492,34.4492,33.8833,34.2606,1524583
2018-04-16,34.5584,34.9158,34.4492,34.747,2082881
2018-04-17,34.9754,34.9754,34.6626,34.8066,2370772
2018-04-18,34.9257,34.9456,34.6577,34.7768,1904943
2018-04-19,34.6279,34.7768,34.0144,34.5882,1356814
2018-04-20,34.6378,34.6577,34.0918,34.3301,1578789
2018-04-23,34.34,34.608,34.2953,34.4988,1937540
2018-04-24,34.7172,34.9456,34.3102,34.4492,2563024
2018-04-25,34.34,34.479,33.9131,34.2506,1767241
2018-04-26,34.469,34.6726,34.0223,34.5286,1803800
2018-04-27,34.5187,34.8364,34.3747,34.6279,1098307
2018-04-30,34.6775,34.7768,34.3995,34.5485,1622527
2018-05-01,34.4293,34.7371,34.2903,34.7172,1372745
2018-05-02,34.5385,34.5385,33.6947,33.7145,2612372
2018-05-03,33.6252,34.0024,33.2678,33.8138,2170300
2018-05-04,33.5954,34.5435,33.5954,34.4591,1628107
2018-05-07,34.479,34.6577,34.2109,34.3102,2459300
2018-05-08,34.3499,34.3896,34.0322,34.3102,3161384
2018-05-09,35.5115,35.5115,33.5259,34.1514,4046985
2018-05-10,34.2903,34.9952,34.2903,34.8463,3208514
2018-05-11,34.7867,35.1938,34.5286,35.0647,2906097
2018-05-14,35.1143,35.2236,34.6726,34.8364,3616670
2018-05-15,34.6676,35.0746,34.469,35.025,2727530
2018-05-16,34.93,35.27,33.6,35.13,2024154
2018-05-17,35.0,35.345,34.82,35.07,2437785
2018-05-18,35.14,35.35,35.0,35.17,1824416
2018-05-21,35.52,35.71,35.36,35.5,1949254
2018-05-22,35.6,35.65,35.194,35.28,1431401
2018-05-23,35.01,35.46,35.01,35.44,2621415
2018-05-24,35.08,35.89,35.08,35.57,2424890
2018-05-25,35.57,35.8,35.41,35.56,1818822
2018-05-29,35.39,35.5,35.04,35.28,2221785
2018-05-30,35.36,35.73,35.28,35.56,2668480
2018-05-31,35.54,35.78,35.26,35.74,3836436
