date,open,high,low,close,volume
2017-08-04,45.6083,46.2301,45.3024,46.0722,3179111
2017-08-07,46.092,46.3091,45.6873,45.8946,2177100
2017-08-08,45.9044,46.8322,45.8946,46.3585,2162600
2017-08-09,46.013,46.4769,45.6774,45.9242,1511768
2017-08-10,45.7268,45.7663,44.2858,44.3154,2026139
2017-08-11,44.2463,44.6312,43.97,44.0785,1404950
2017-08-14,44.5325,44.8385,44.2364,44.5819,2086127
2017-08-15,44.7201,44.9865,44.6115,44.6608,1435638
2017-08-16,44.9569,45.2629,44.6214,44.7694,937129
2017-08-17,44.5819,44.7497,43.9897,44.0292,1139464
2017-08-18,43.891,44.1575,43.6443,43.7627,1933913
2017-08-21,43.743,44.1081,43.5159,44.039,1336899
2017-08-22,44.3154,44.5819,44.1871,44.345,2027535
2017-08-23,44.039,44.5128,44.0193,44.1279,1425091
2017-08-24,44.3648,44.4773,43.6245,43.7726,2161366
2017-08-25,44.1772,44.1871,43.5554,43.585,1176850
2017-08-28,43.6146,43.7824,43.2889,43.6739,1123329
2017-08-29,43.3383,43.9601,43.2495,43.7923,1589595
2017-08-30,43.8715,44.3368,43.7824,44.3368,5686115
2017-08-31,44.5745,46.1388,44.5745,45.9507,2473119
2017-09-01,46.2081,46.7626,46.0299,46.1982,1363379
2017-09-05,46.119,46.1883,45.218,45.5052,1496695
2017-09-06,45.8022,46.0398,45.2378,45.9606,1458766
2017-09-07,46.0299,46.1685,45.4359,45.624,1428886
2017-09-08,45.5151,45.9012,45.3072,45.7428,903768
2017-09-11,46.0398,46.7131,45.8517,46.525,1367712
2017-09-12,46.5943,47.1883,46.4161,47.0794,1077580
2017-09-13,47.0299,47.4062,46.5943,47.1685,1298262
2017-09-14,47.1487,47.8121,47.1487,47.7923,1473947
2017-09-15,47.6834,48.5151,47.6636,48.2775,2096404
2017-09-18,48.4161,48.7131,48.0794,48.6834,1560247
2017-09-19,48.7131,48.7626,48.0398,48.6042,1415017
2017-09-20,48.7131,49.0299,48.4953,48.9705,1295958
2017-09-21,48.9309,49.1488,48.5646,49.0992,1638794
2017-09-22,49.0794,49.6834,49.0794,49.4656,1192888
2017-09-25,49.5151,50.0101,49.4953,50.0002,1402933
2017-09-26,50.1092,50.6141,49.7725,50.3468,1214330
2017-09-27,50.6438,50.7319,49.6636,49.9606,1613272
2017-09-28,49.8814,50.327,49.1785,49.7923,2213579
2017-09-29,49.7725,51.0399,49.4705,50.723,2883889
2017-10-02,50.6537,51.4854,50.4656,51.3369,2264932
2017-10-03,51.8517,52.1884,51.2676,51.2973,1879297
2017-10-04,51.2973,52.0003,51.2973,51.9309,1391905
2017-10-05,52.0102,52.0102,51.4359,51.5448,1331307
2017-10-06,51.4062,51.5943,51.1792,51.3567,1384142
2017-10-09,51.4854,51.6339,51.1983,51.4854,525173
2017-10-10,51.5745,51.8319,51.1884,51.4755,1040091
2017-10-11,51.4854,51.6438,50.9606,51.4953,838193
2017-10-12,50.7527,50.9903,49.7824,50.4161,2549906
2017-10-13,50.8121,51.2082,50.4785,50.624,1074080
2017-10-16,50.9309,51.6834,50.624,51.6537,1876449
2017-10-17,51.5943,51.822,51.3468,51.5052,1067027
2017-10-18,51.6339,52.2478,51.6042,51.8715,1133074
2017-10-19,51.624,51.624,51.02,51.5349,745730
2017-10-20,51.9408,52.0795,51.6141,51.6834,1505011
2017-10-23,51.6438,52.0646,51.5894,51.6141,1563920
2017-10-24,52.1191,52.7527,52.0102,52.228,1416446
2017-10-25,51.9705,52.1438,50.6834,51.1488,1888801
2017-10-26,51.1488,53.3072,51.0894,52.8418,2553330
2017-10-27,52.8121,53.0003,51.2874,52.3468,1291182
2017-10-30,52.1983,52.2775,51.4458,51.8715,1491102
2017-10-31,52.1785,52.426,52.0201,52.1983,1083409
2017-11-01,52.8616,52.9507,52.0993,52.1785,986595
2017-11-02,52.2973,52.6438,52.1092,52.3765,1474007
2017-11-03,52.5052,53.0201,52.2775,52.4458,1731661
2017-11-06,52.5151,52.5844,51.723,52.1191,969851
2017-11-07,52.1983,52.4656,51.6735,51.8814,1089827
2017-11-08,51.6735,51.8319,50.9507,51.6735,1157662
2017-11-09,51.1884,51.6042,50.9507,51.5844,1428542
2017-11-10,51.3468,51.9012,51.327,51.5547,928154
2017-11-13,51.2577,51.7428,51.0696,51.5151,923470
2017-11-14,51.3369,51.8567,51.1389,51.5547,1449210
2017-11-15,51.0993,51.4804,50.7428,51.1686,1063648
2017-11-16,51.4062,51.6537,51.0498,51.525,1130380
2017-11-17,51.2181,51.6339,51.0299,51.426,1875900
2017-11-20,51.6537,52.2676,51.6537,51.8319,1366566
2017-11-21,52.129,52.3765,51.8418,52.129,2770587
2017-11-22,52.3072,52.457,52.0399,52.3666,1327518
2017-11-24,52.3864,52.525,52.1983,52.3567,412107
2017-11-27,52.426,52.6636,52.1983,52.525,1308963
2017-11-28,52.7428,53.8121,52.7131,53.7527,973703
2017-11-29,53.8616,54.4755,53.7626,54.3171,1183734
2017-11-30,54.6349,55.4791,54.5108,55.3004,1999849
2017-12-01,55.4394,55.4394,53.3934,54.6349,1376151
2017-12-04,55.0024,55.2904,53.8304,53.8702,1363848
2017-12-05,54.0489,54.0986,53.2941,54.0092,1895044
2017-12-06,53.6815,53.9695,52.5393,52.6883,1721448
2017-12-07,52.8969,53.3339,52.6287,53.314,946118
2017-12-08,53.5524,53.5573,52.8869,53.3934,1044185
2017-12-11,53.4828,53.5325,52.8273,53.1948,1392272
2017-12-12,53.2544,53.3835,52.8124,53.016,1368280
2017-12-13,53.165,53.2743,51.9434,51.9633,1208293
2017-12-14,52.152,52.2116,51.1787,51.1886,1566381
2017-12-15,51.2382,51.5859,50.8509,51.1787,2531872
2017-12-18,51.9136,52.4102,51.6454,51.8342,1371394
2017-12-19,51.8838,51.9732,51.5759,51.8441,2868528
2017-12-20,52.3407,52.8373,52.0427,52.6982,1661415
2017-12-21,52.8373,53.0558,51.5263,51.6454,1293866
2017-12-22,51.5461,51.8639,51.0992,51.3574,749204
2017-12-26,51.2879,51.4865,50.98,51.1389,420143
2017-12-27,51.1091,51.3276,50.9899,51.2184,611979
2017-12-28,51.3177,51.7646,51.0893,51.7448,653399
2017-12-29,51.9533,52.0626,50.7317,50.7417,803161
2018-01-02,51.0297,51.4667,50.7417,51.4269,1186902
2018-01-03,51.5163,51.7646,51.278,51.6852,1182346
2018-01-04,52.0328,53.6666,51.9931,53.3636,1694153
2018-01-05,53.7311,54.9825,53.6715,54.913,2202127
2018-01-08,55.0223,55.3599,54.6349,54.9428,1868719
2018-01-09,55.211,55.8665,55.0123,55.3599,1444733
2018-01-10,55.1712,55.2904,53.7907,54.1383,1196489
2018-01-11,54.188,55.6082,54.1483,55.5288,1191482
2018-01-12,55.7473,57.4953,55.7473,56.8398,2346968
2018-01-16,57.1079,57.2966,55.7969,55.936,1635471
2018-01-17,56.373,57.823,55.2408,57.5151,2016150
2018-01-18,57.6045,57.7634,56.512,56.7206,1272618
2018-01-19,56.8398,57.0186,56.4326,56.5518,959170
2018-01-22,56.7504,56.81,55.2159,56.0949,1509460
2018-01-23,56.1644,56.2091,55.2308,55.7274,1180311
2018-01-24,56.1545,56.9739,55.8764,56.3531,1277586
2018-01-25,56.6809,56.7603,55.638,55.8764,1103996
2018-01-26,56.2935,56.7703,56.0452,56.7703,1141863
2018-01-29,56.5716,57.3364,56.4226,56.4326,1045896
2018-01-30,56.1942,56.8001,55.9459,56.3333,940157
2018-01-31,56.7007,57.0186,55.6579,55.8764,1104176
2018-02-01,55.35,56.2339,54.8336,56.0055,1014613
2018-02-02,55.5288,55.8665,54.0092,54.0986,1234726
2018-02-05,53.8007,54.3966,51.9931,51.9931,2196585
2018-02-06,50.9701,54.1582,50.404,53.7907,2706124
2018-02-07,53.5524,55.3997,52.7082,54.625,2417604
2018-02-08,53.9298,54.0986,51.5064,51.5859,3527357
2018-02-09,52.728,53.1898,50.0564,52.2513,2343846
2018-02-12,52.877,53.4431,52.3705,52.6088,1709515
2018-02-13,52.142,52.8075,51.4766,51.9533,1487133
2018-02-14,51.4667,53.3041,51.4269,53.1253,1504651
2018-02-15,53.6119,53.6914,52.0129,52.3109,1774339
2018-02-16,52.2513,52.7082,51.7249,51.8639,1363379
2018-02-20,51.6454,52.6784,51.0297,51.9037,1316760
2018-02-21,51.9732,52.4549,51.4915,51.7348,1744870
2018-02-22,51.9037,52.291,51.5759,51.8838,1448733
2018-02-23,52.2712,52.2712,51.4567,51.9633,1000784
2018-02-26,52.1619,52.1917,51.0595,51.5561,2139614
2018-02-27,51.6951,51.7646,49.7485,49.7485,1988889
2018-02-28,49.9378,50.0474,48.9114,48.9114,2191615
2018-03-01,48.9413,49.3,47.6358,48.154,2850350
2018-03-02,47.6457,48.134,47.0677,47.845,1794688
2018-03-05,47.6158,48.7918,47.2571,48.5526,1655598
2018-03-06,48.8316,49.0011,48.1141,48.7021,1010474
2018-03-07,48.2038,48.9114,48.0942,48.6822,1003843
2018-03-08,48.8416,49.8282,48.5327,49.6787,1550100
2018-03-09,50.0275,51.4127,49.8282,51.3828,1664491
2018-03-12,51.4725,51.7715,50.5956,50.5956,1186479
2018-03-13,50.765,51.4825,50.5358,50.6553,1125401
2018-03-14,51.333,51.6121,50.3066,50.4162,1217415
2018-03-15,50.5158,50.9444,50.167,50.5059,864123
2018-03-16,50.456,51.3529,50.3066,51.2633,1990297
2018-03-19,51.034,51.034,49.8083,50.4062,1084307
2018-03-20,50.5457,50.5457,49.6538,49.9079,1228060
2018-03-21,50.0474,51.4053,49.7933,50.9045,900111
2018-03-22,50.8547,52.2598,49.6588,49.6688,2400048
2018-03-23,49.7285,50.0873,48.3433,48.443,1427656
2018-03-26,49.2701,50.2468,48.9413,50.1371,1228721
2018-03-27,50.4261,50.4261,48.6772,49.0309,775292
2018-03-28,48.8117,49.2402,48.2138,48.4828,1139337
2018-03-29,48.9313,50.456,48.8715,50.0574,1608498
2018-04-02,49.9279,50.0873,48.0045,48.6722,1306028
2018-04-03,49.2203,50.476,49.0309,50.1969,1949673
2018-04-04,49.0808,51.5523,49.0608,51.4327,1653699
2018-04-05,51.7416,52.4691,51.5323,52.2897,1450928
2018-04-06,51.8811,52.5389,50.7102,51.0938,1175929
2018-04-09,51.4825,51.9708,50.9244,51.3928,1356364
2018-04-10,52.3296,53.1966,52.0804,52.8279,1140280
2018-04-11,52.4492,53.4557,52.4492,53.0272,1433507
2018-04-12,53.4956,53.9041,53.2265,53.3859,1250204
2018-04-13,53.8244,53.8244,52.509,52.6784,1169716
2018-04-16,53.376,53.8842,52.8279,53.6151,1039410
2018-04-17,54.0736,54.1383,53.4756,53.6949,1121431
2018-04-18,54.0935,54.1633,53.5354,53.7248,1124294
2018-04-19,53.6351,53.7447,52.1801,52.489,1015753
2018-04-20,52.5389,52.8677,52.0904,52.5787,1150152
2018-04-23,52.5986,53.1368,52.5688,52.8677,811848
2018-04-24,53.1866,53.4407,51.6419,52.1602,1245392
2018-04-25,52.0206,53.1169,51.5124,52.7282,1706384
2018-04-26,52.7681,52.798,50.466,51.632,2296353
2018-04-27,51.3729,51.6718,49.1406,49.4495,2753384
2018-04-30,49.4993,49.888,48.7469,48.7718,2278729
2018-05-01,48.7519,49.2602,47.7155,48.3732,3217951
2018-05-02,48.5626,49.3698,48.1938,48.2736,1926583
2018-05-03,47.9846,48.2138,46.8086,47.6756,1934401
2018-05-04,47.556,49.1132,47.2172,48.9612,866103
2018-05-07,48.9712,49.2402,48.5925,49.021,1550777
2018-05-08,49.0011,49.4993,49.0011,49.4595,1246377
2018-05-09,49.6887,49.9378,49.0011,49.7584,1447270
2018-05-10,50.0674,50.6055,49.6986,50.3066,894906
2018-05-11,50.476,50.8048,50.2866,50.4361,897798
2018-05-14,50.6852,51.1486,50.5806,50.8048,1129383
2018-05-15,50.6255,51.034,50.2855,50.5756,1200472
2018-05-16,50.466,51.916,50.456,51.6419,1357670
2018-05-17,51.6021,52.4492,51.5722,52.21,1039967
2018-05-18,52.1203,52.3047,51.4725,51.7416,772750
2018-05-21,52.1901,52.5688,52.0555,52.1502,563700
2018-05-22,52.5887,53.0969,52.22,52.489,1165376
2018-05-23,52.2,52.3794,51.4327,51.9907,952596
2018-05-24,51.7316,51.9409,51.2334,51.3729,1175327
2018-05-25,51.2334,51.6918,50.9444,51.2832,1123643
2018-05-29,50.6055,50.6854,48.0294,48.3134,3162078
2018-05-30,48.722,49.4096,48.423,49.3,1291397
2018-05-31,49.69,49.74,48.595,48.78,1896930
