date,open,high,low,close,volume
2017-09-26,176.3533,178.8044,174.5027,178.1646,803511
2017-09-27,178.5485,180.2121,174.483,178.0366,1188252
2017-09-28,177.1211,179.3262,175.8316,177.2688,602615
2017-09-29,176.9932,179.149,176.6585,176.944,563713
2017-10-02,176.944,180.1137,176.2057,179.3754,675355
2017-10-03,179.1588,179.7888,177.761,179.5132,519956
2017-10-04,179.3852,180.0054,176.688,178.076,849388
2017-10-05,178.1744,180.0842,177.1999,179.4049,509615
2017-10-06,178.6666,179.9759,176.7175,177.259,559109
2017-10-09,177.5051,178.962,174.2763,174.8275,683693
2017-10-10,175.2114,176.6388,170.6537,171.1951,1040224
2017-10-11,167.1198,170.2206,163.8614,169.8071,1423981
2017-10-12,169.7087,174.9063,169.7087,174.7783,807116
2017-10-13,175.2508,179.0899,174.9358,178.2237,1259347
2017-10-16,178.4796,180.0891,176.8455,179.5132,1568419
2017-10-17,185.3113,204.5511,183.5197,202.2132,6078266
2017-10-18,205.8456,210.4132,202.9614,205.5503,3059693
2017-10-19,204.1918,204.6447,199.6735,201.4552,1782536
2017-10-20,202.3806,206.8891,201.5635,204.5659,881352
2017-10-23,204.1918,207.5092,203.6603,206.2295,893223
2017-10-24,207.2139,208.4247,194.9484,195.2536,2003306
2017-10-25,193.9936,194.4169,189.6327,194.3972,1860200
2017-10-26,194.7909,201.9671,192.0248,198.0394,1486468
2017-10-27,197.2224,198.1674,194.6826,196.6416,999411
2017-10-30,196.9172,200.3823,196.2084,196.2774,1024991
2017-10-31,197.4094,199.3683,194.4267,194.6137,766880
2017-11-01,196.6317,197.6161,191.257,192.5268,928051
2017-11-02,193.1667,196.1199,190.056,195.923,978221
2017-11-03,195.923,198.1772,194.9189,196.8877,722234
2017-11-06,196.2084,201.5685,196.1789,200.4019,842132
2017-11-07,200.8154,202.7842,198.2658,201.977,858330
2017-11-08,201.9573,207.0269,200.6185,204.8809,1068467
2017-11-09,202.6267,205.757,196.9566,202.8531,1762736
2017-11-10,202.0804,212.4711,200.446,201.5554,2440187
2017-11-13,201.278,201.278,192.3731,193.9381,1298795
2017-11-14,192.6603,194.4631,189.5797,193.7301,1028901
2017-11-15,192.7891,196.3649,191.6698,193.8787,880357
2017-11-16,194.0669,198.7125,193.8787,196.6225,581242
2017-11-17,196.3303,198.8215,194.9187,195.9489,589006
2017-11-20,195.8499,197.8805,195.0772,197.7319,650595
2017-11-21,198.1083,200.0398,196.1965,197.7418,822364
2017-11-22,198.5342,202.8232,198.2668,198.5045,378631
2017-11-24,200.02,200.0894,196.3748,198.2569,219031
2017-11-27,198.7819,201.5851,198.4352,201.179,549038
2017-11-28,201.3771,210.1136,200.3271,209.5689,1036726
2017-11-29,209.5689,216.2648,208.7368,214.7197,1262569
2017-11-30,214.6999,220.3063,214.0857,219.2167,1092988
2017-12-01,218.979,219.2167,212.9664,216.1659,999893
2017-12-04,219.3158,229.7165,219.3158,225.3482,1487290
2017-12-05,227.0024,228.0821,223.6841,224.5656,1226406
2017-12-06,224.0704,224.0704,218.2361,219.3356,1691003
2017-12-07,219.6129,221.9902,218.464,220.1676,695971
2017-12-08,220.9304,222.9114,220.1478,221.7921,576379
2017-12-11,221.3761,223.7237,220.9799,221.4256,401209
2017-12-12,221.3365,222.1091,219.1474,220.2865,640537
2017-12-13,220.9898,222.436,219.3752,222.1784,492473
2017-12-14,222.6341,223.5543,220.2716,220.5639,494548
2017-12-15,223.9812,228.5278,222.4707,227.7948,1333334
2017-12-18,228.8745,229.4936,225.784,227.7453,715734
2017-12-19,226.9628,228.4981,225.3086,226.4279,528867
2017-12-20,228.2108,229.8353,227.2599,228.7556,568321
2017-12-21,229.449,233.4607,228.7111,232.797,637742
2017-12-22,230.3356,233.6241,230.1919,232.6187,585024
2017-12-26,231.7867,235.7489,231.7867,233.7777,554902
2017-12-27,233.7777,234.8673,232.8169,234.7583,338529
2017-12-28,235.1843,235.947,233.0447,235.7092,441813
2017-12-29,235.7092,238.2104,233.8173,234.0154,542977
2018-01-02,234.8078,236.5314,230.7962,233.4805,636732
2018-01-03,233.1338,234.5354,230.2018,232.0145,901225
2018-01-04,232.8169,234.7088,230.9546,233.8272,950354
2018-01-05,234.1145,236.363,233.0942,235.9965,771110
2018-01-08,235.0456,236.7295,232.4999,235.9965,954770
2018-01-09,236.254,237.512,234.1789,235.0456,764539
2018-01-10,228.3198,231.1082,225.4869,229.558,835859
2018-01-11,230.3009,235.7489,229.5084,235.4715,677764
2018-01-12,236.254,237.4328,233.114,233.4409,932861
2018-01-16,234.9267,235.2833,228.9736,229.6174,920960
2018-01-17,225.467,226.1901,221.5049,223.0996,1752866
2018-01-18,223.9911,228.2401,223.8029,225.3779,1291719
2018-01-19,226.3189,229.6967,224.9718,227.8741,658246
2018-01-22,226.9529,228.3198,221.1384,227.6859,970346
2018-01-23,225.4076,228.9042,223.8723,227.2797,1230988
2018-01-24,255.946,271.656,254.8465,269.3976,4080742
2018-01-25,272.3989,295.325,271.6659,283.7307,4860006
2018-01-26,285.2561,287.5096,279.6497,282.5618,1377127
2018-01-29,282.8293,285.2561,271.0617,271.8838,1548725
2018-01-30,270.8933,274.1373,266.5547,272.8446,1096032
2018-01-31,273.3696,274.7861,264.9797,267.1094,1725956
2018-02-01,264.5043,269.7145,261.7407,263.6128,901911
2018-02-02,262.6123,262.6817,257.0158,257.2337,845462
2018-02-05,255.4111,259.5318,247.9721,251.7065,1348140
2018-02-06,244.8321,260.6114,244.8321,256.5601,1207778
2018-02-07,256.5601,260.027,254.2324,257.4318,1038423
2018-02-08,257.1347,262.5232,254.8862,256.154,910832
2018-02-09,258.2545,268.1196,255.3478,266.1287,1808077
2018-02-12,268.2092,270.7676,266.6314,268.2092,1331586
2018-02-13,265.9694,271.3449,264.74,270.1404,881362
2018-02-14,267.3929,268.2889,260.3435,263.5405,1160797
2018-02-15,265.5015,270.6382,262.4753,268.3386,807812
2018-02-16,268.2291,269.9712,265.402,265.4717,507062
2018-02-20,263.2916,266.8554,261.3803,262.4156,478835
2018-02-21,263.1323,265.7305,260.5939,260.6038,549768
2018-02-22,262.4255,264.954,261.3106,262.4056,683780
2018-02-23,263.6699,265.3821,261.9577,264.9839,469960
2018-02-26,266.0291,270.1404,265.0237,269.5929,499009
2018-02-27,270.4689,272.7585,263.5803,263.5803,608682
2018-02-28,265.392,266.0291,260.3649,260.3649,741364
2018-03-01,259.7875,261.3206,252.8591,254.5514,1043301
2018-03-02,252.2518,254.5713,247.6229,254.1432,902288
2018-03-05,253.6953,260.3201,253.1279,258.6527,701090
2018-03-06,261.6988,272.0119,259.6482,266.5468,1232407
2018-03-07,263.4708,270.5187,261.7387,270.0309,1008836
2018-03-08,271.8228,273.6544,268.7219,273.4553,646980
2018-03-09,274.6599,282.0562,273.9232,279.1594,905687
2018-03-12,278.7015,281.4987,277.8055,278.4725,698969
2018-03-13,280.8616,280.8616,273.7639,275.3965,715229
2018-03-14,277.4273,282.1557,274.0228,278.9404,731107
2018-03-15,279.0897,281.1055,278.363,280.0055,722417
2018-03-16,281.2797,288.1086,280.2743,287.4417,1297347
2018-03-19,287.9693,290.4181,282.2155,285.0824,1072128
2018-03-20,286.6752,291.1448,283.8978,284.4154,548892
2018-03-21,284.4154,286.5059,282.3349,284.1765,473946
2018-03-22,282.3051,286.4163,278.6218,278.9006,570820
2018-03-23,280.4734,281.8173,268.7965,268.8264,932904
2018-03-26,271.325,276.5015,270.8074,275.3766,794119
2018-03-27,275.3766,276.0535,270.1802,271.7929,640614
2018-03-28,271.763,277.5666,270.8074,276.2227,842497
2018-03-29,277.8055,283.7087,277.8055,280.991,917338
2018-04-02,279.7567,282.5885,271.982,275.3865,815173
2018-04-03,277.1187,283.206,275.3965,282.5838,707952
2018-04-04,280.4435,289.1837,278.8806,287.143,859034
2018-04-05,289.1738,295.6244,287.9892,292.4389,737721
2018-04-06,289.9403,293.3747,280.3539,285.3711,849709
2018-04-09,288.7457,289.3681,283.0317,285.3313,871197
2018-04-10,288.0489,292.4787,287.8896,290.6769,825843
2018-04-11,283.8779,288.0688,274.3015,277.9051,1269571
2018-04-12,279.5576,283.7684,278.7313,282.6136,581897
2018-04-13,284.9928,284.9928,277.3476,277.3476,1151896
2018-04-16,280.8716,283.0517,278.5521,282.8327,756194
2018-04-17,284.5946,284.5946,279.3983,282.2652,716803
2018-04-18,284.1069,287.81,282.4146,283.4001,1079541
2018-04-19,302.6226,308.3963,290.1892,298.5212,3255146
2018-04-20,301.1194,301.5077,284.3259,287.0933,1298546
2018-04-23,288.0887,289.4824,283.7684,284.7838,687015
2018-04-24,287.6308,288.3276,273.4056,278.2933,1072070
2018-04-25,277.2381,278.9603,273.5748,276.0037,1235634
2018-04-26,276.5114,277.4969,269.0028,275.6354,959620
2018-04-27,275.5856,283.7584,274.6748,282.5838,825354
2018-04-30,281.9467,284.7539,279.7367,280.0752,822610
2018-05-01,278.6616,280.9313,275.3816,280.6625,652677
2018-05-02,279.8064,285.5901,278.6318,279.6272,608104
2018-05-03,280.2643,280.2643,271.0961,278.572,691523
2018-05-04,277.5965,286.8842,275.6255,285.4706,593915
2018-05-07,286.4462,290.1394,283.8182,288.0589,452091
2018-05-08,289.6018,291.7819,286.7249,288.7557,447917
2018-05-09,289.5023,296.6099,288.6611,294.4896,550836
2018-05-10,296.6597,299.0289,293.7741,298.8099,814528
2018-05-11,299.11,302.81,295.68,296.05,523587
2018-05-14,297.84,299.18,292.32,295.71,346544
2018-05-15,294.92,301.08,292.64,300.85,709498
2018-05-16,300.54,307.66,300.24,306.37,744641
2018-05-17,304.4,309.05,304.4,306.8,462384
2018-05-18,307.06,308.4,305.26,307.61,708715
2018-05-21,309.08,317.505,308.79,313.9,843023
2018-05-22,313.21,314.67,305.3,305.89,896710
2018-05-23,303.41,307.39,301.89,305.22,663998
2018-05-24,305.78,311.69,305.01,310.93,642749
2018-05-25,310.0,311.75,308.52,309.82,636226
2018-05-29,308.71,309.88,299.265,302.92,701225
2018-05-30,304.1,309.13,301.72,307.46,495166
2018-05-31,306.68,310.0,303.04,308.99,947869
